Year,Country,Solar_Capacity_GW,Wind_Capacity_GW,Hydro_Capacity_GW,Biomass_Capacity_GW,Geothermal_Capacity_GW,Total_Renewable_Capacity_GW,Renewable_Energy_Percentage,CO2_Reduction_Million_Tonnes,Investment_Billion_USD,Employment_Thousand_Jobs
2015,Germany,54.97,38.89,33.24,19.57,7.53,154.2,13.83,582.61,65.35,93.0
2015,Denmark,55.43,36.29,27.67,15.73,4.17,139.29,6.38,75.04,29.74,104.7
2015,Australia,40.92,28.7,37.33,14.32,8.14,129.41,7.88,115.25,52.22,82.7
2015,Brazil,53.76,35.19,28.54,13.19,11.7,142.39,14.93,214.66,66.45,81.7
2015,China,52.09,24.32,23.36,15.59,9.48,124.84,15.86,379.07,43.98,77.8
2015,USA,42.8,36.31,35.29,16.03,4.47,134.91,16.62,357.75,36.46,109.2
2015,Spain,60.31,47.45,25.8,14.07,8.66,156.3,19.88,425.07,46.29,83.4
2015,Japan,38.04,46.5,36.78,14.78,10.01,146.11,16.81,323.44,57.23,123.1
2015,India,49.64,52.52,16.9,17.47,8.17,144.7,13.5,351.39,10.25,96.7
2015,UK,53.57,51.82,27.41,12.57,7.0,152.37,19.58,538.74,39.4,107.7
2016,Germany,92.97,81.35,32.49,17.62,9.62,234.04,11.88,341.48,91.22,124.1
2016,Denmark,93.15,65.08,34.4,17.87,9.0,219.5,18.74,529.2,126.72,128.6
2016,Australia,84.08,64.6,24.91,17.62,9.92,201.13,30.47,732.8,83.03,117.5
2016,Brazil,76.81,79.94,39.26,20.67,8.38,225.07,25.86,436.32,94.74,154.9
2016,China,92.59,77.47,38.0,17.99,7.9,233.95,20.59,355.47,104.47,116.2
2016,USA,98.75,60.33,33.14,20.29,7.44,219.95,19.46,682.63,46.35,121.8
2016,Spain,96.35,81.25,30.07,14.79,11.54,234.0,20.86,559.07,94.43,114.8
2016,Japan,80.32,64.74,30.43,23.0,10.55,209.04,11.84,394.57,54.51,127.8
2016,India,101.84,65.63,40.57,19.69,11.94,239.67,28.51,675.92,69.43,109.7
2016,UK,76.84,67.38,36.71,18.83,11.65,211.42,18.57,682.16,74.71,160.8
2017,Germany,140.26,100.34,36.65,23.65,12.35,313.25,26.97,745.24,120.54,135.3
2017,Denmark,125.85,109.23,47.28,23.44,10.71,316.51,24.97,681.95,110.32,154.3
2017,Australia,113.58,81.26,40.79,22.08,13.77,271.48,26.57,457.57,85.24,143.7
2017,Brazil,132.14,105.72,60.26,23.31,14.67,336.11,27.47,784.46,109.69,155.4
2017,China,147.27,122.11,42.57,24.25,18.63,354.83,16.16,507.03,107.75,152.9
2017,USA,127.39,93.71,34.11,18.55,13.16,286.93,18.0,482.42,107.91,128.2
2017,Spain,158.94,115.07,32.37,23.06,11.68,341.12,28.01,581.43,122.71,157.6
2017,Japan,114.66,75.2,36.33,18.38,9.89,254.45,29.43,796.43,72.78,145.8
2017,India,151.72,112.66,33.9,20.45,15.13,333.87,19.51,554.36,134.49,132.1
2017,UK,119.4,70.07,34.88,20.24,9.5,254.1,30.16,539.53,101.2,142.0
2018,Germany,190.41,129.31,53.82,25.83,13.24,412.61,29.91,777.62,146.0,173.0
2018,Denmark,182.65,150.11,52.81,31.46,13.32,430.35,39.32,690.07,163.96,186.8
2018,Australia,147.31,110.62,42.46,21.62,12.22,334.23,28.7,771.0,117.14,167.5
2018,Brazil,168.57,138.9,49.65,22.41,13.48,393.02,30.29,848.72,148.58,167.8
2018,China,220.28,161.27,55.24,27.89,16.56,481.24,36.24,1029.91,201.27,209.6
2018,USA,149.96,125.26,42.7,24.52,13.44,355.88,25.46,725.77,119.14,188.4
2018,Spain,171.19,135.29,54.54,28.62,16.75,406.39,31.27,779.83,144.55,176.1
2018,Japan,127.23,115.0,41.26,19.72,12.16,315.37,25.46,552.06,105.56,151.7
2018,India,173.2,132.54,44.89,26.05,12.0,388.69,20.04,393.18,149.23,173.7
2018,UK,169.75,130.86,44.2,23.94,11.99,380.75,25.41,591.89,146.45,147.6
2019,Germany,223.19,186.66,53.46,30.61,18.98,512.9,29.79,778.46,194.25,197.5
