Country,Total_Renewable_Capacity_GW,Investment_Billion_USD,CO2_Reduction_Million_Tonnes,Employment_Thousand_Jobs
Australia,5158.04,1961.39,9256.970000000001,2094.4
Brazil,6050.65,2390.39,8929.460000000001,2317.3
China,7570.1900000000005,3054.04,11623.43,2790.3
Denmark,6777.64,2706.65,10582.45,2565.0
Germany,6416.74,2553.7400000000002,9624.78,2383.7
India,6198.9,2461.09,8809.9,2384.1
Japan,4861.52,1823.3500000000001,7903.61,2009.8
Spain,6591.69,2618.24,11227.46,2434.3
UK,5570.9400000000005,2230.2799999999997,9175.27,2203.7
USA,5345.61,2015.37,8952.05,2281.7
