Year,Total_Renewable_Capacity_GW,Investment_Billion_USD,CO2_Reduction_Million_Tonnes,Employment_Thousand_Jobs
2015,1424.52,447.37,3363.02,960.0
2016,2227.77,839.61,5389.62,1276.2
2017,3062.65,1072.63,6130.42,1447.3
2018,3898.53,1441.88,7160.05,1742.2
2019,4747.66,1852.61,7229.09,1862.4
2020,5435.22,2066.42,9253.41,2142.1
2021,6359.56,2556.8500000000004,9881.94,2297.7
2022,7092.72,2797.43,10229.75,2530.7
2023,7895.53,3172.9,12146.35,2874.2
2024,8799.26,3703.49,12441.86,3050.6
2025,9598.5,3863.35,12859.869999999999,3280.9
